Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1649.299786
FDW14,OUT017,1435.912134375
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.110232432434
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.149381714286
FDL48,OUT018,713.8586545454551
FDC48,OUT027,2517.882088484848
FDN33,OUT045,1879.2570116129027
FDA36,OUT017,2752.9709346534664
FDT44,OUT017,1922.149381714286
FDQ56,OUT045,1435.912134375
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.7435709401702
DRL59,OUT013,713.8586545454551
FDM24,OUT049,2286.413267368421
FDI57,OUT045,3130.004904950496
DRC12,OUT018,2893.8398258992806
NCM42,OUT027,3242.0620715328487
FDA46,OUT010,482.69954262295073
FDA31,OUT013,2778.5893175257743
NCJ31,OUT035,3737.2957751824806
FDG52,OUT046,798.2176035398228
NCL19,OUT019,281.4820818181818
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398228
NCE06,OUT046,2503.501336448598
DRC27,OUT046,3643.519725984251
FDE21,OUT035,1922.149381714286
NCR42,OUT019,92.67548155339806
FDX51,OUT018,2893.8398258992806
NCR06,OUT018,507.04640366972495
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2503.501336448598
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.882088484848
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2939.348476190477
NCD43,OUT027,2517.882088484848
NCD54,OUT018,1752.252440000001
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2778.5893175257743
NCL19,OUT018,2232.84702184874
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1649.299786
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.2957751824806
FDU34,OUT046,1987.251048648648
DRH11,OUT046,935.0323883040938
FDM03,OUT013,1461.8437959999999
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.7435709401702
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2752.9709346534664
FDA09,OUT013,3259.5620849056613
FDT04,OUT013,507.04640366972495
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1435.912134375
FDW12,OUT035,2286.413267368421
FDL51,OUT017,3643.519725984251
NCY42,OUT027,3242.0620715328487
FDR07,OUT017,1573.070625806452
FDN40,OUT045,2286.413267368421
FDB35,OUT027,2517.882088484848
FDA22,OUT017,2286.413267368421
NCL06,OUT046,4034.300306896552
FDI35,OUT013,3384.108064242422
NCW42,OUT045,4340.218358415842
NCX06,OUT049,2778.5893175257743
FDC37,OUT027,2517.882088484848
FDZ14,OUT018,1752.252440000001
DRG49,OUT049,3454.06255915493
NCG06,OUT045,4034.300306896552
DRC36,OUT045,3259.5620849056613
FDV21,OUT019,281.4820818181818
FDB53,OUT046,3053.099877777778
DRP47,OUT019,584.7577647727275
FDA14,OUT013,3053.099877777778
DRC24,OUT035,2644.477842708335
FDW21,OUT018,1372.6884907407411
NCH29,OUT046,1682.212238235295
FDU58,OUT013,2893.8398258992806
FDY27,OUT017,2552.0052351851864
FDV56,OUT035,1682.212238235295
FDT59,OUT046,3945.432567213115
FDB23,OUT046,3945.432567213115
FDR49,OUT045,798.2176035398228
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.882088484848
FDU35,OUT018,1372.6884907407411
NCT29,OUT013,1987.251048648648
FDZ27,OUT046,798.2176035398228
FDN57,OUT017,2309.2007980000003
FDA03,OUT018,2232.84702184874
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1284.7897668711653
FDT39,OUT018,2232.84702184874
FDK60,OUT017,1461.8437959999999
FDZ25,OUT017,3053.099877777778
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.69954262295073
NCC43,OUT027,6280.890880000001
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539682
FDJ03,OUT027,1378.2631852760744
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,346.8972837209302
FDP27,OUT046,3391.5912527272735
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.890880000001
FDO27,OUT035,1879.2570116129027
DRL23,OUT027,2517.882088484848
FDS28,OUT046,935.0323883040938
FDX24,OUT013,1435.912134375
FDZ02,OUT035,1682.212238235295
FDL46,OUT045,1827.8328454545451
FDS60,OUT027,5329.314724444443
NCO06,OUT017,583.8145788617885
FDO16,OUT035,1435.912134375
FDC60,OUT049,1458.4550080536917
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5329.314724444443
FDK27,OUT045,1827.8328454545451
FDW23,OUT018,507.04640366972495
FDM14,OUT018,1372.6884907407411
FDM14,OUT013,1649.299786
FDW60,OUT018,3259.5620849056613
FDE21,OUT013,1922.149381714286
NCM42,OUT035,1682.212238235295
FDY59,OUT010,219.21852093023253
DRI49,OUT049,1202.6567333333335
FDT28,OUT019,346.8972837209302
FDQ22,OUT018,507.04640366972495
FDR60,OUT049,1202.6567333333335
FDC50,OUT019,219.21852093023253
FDV24,OUT013,2503.501336448598
DRF48,OUT010,482.69954262295073
FDQ47,OUT046,583.8145788617885
DRN36,OUT049,1573.070625806452
NCY06,OUT035,1987.251048648648
FDE52,OUT035,1435.912134375
NCB54,OUT045,1827.8328454545451
NCF31,OUT035,2286.413267368421
FDJ08,OUT027,5329.314724444443
NCC07,OUT017,1682.212238235295
NCD19,OUT027,1378.2631852760744
FDL46,OUT049,1987.251048648648
FDM20,OUT045,4340.218358415842
NCI06,OUT010,425.9355914529916
DRM11,OUT035,4433.304032653064
NCH07,OUT018,2232.84702184874
FDS23,OUT013,2142.7435709401702
FDO49,OUT018,713.8586545454551
FDS35,OUT049,1103.186213333333
DRK39,OUT045,1435.912134375
DRI39,OUT049,796.6402682539682
FDV04,OUT017,2503.501336448598
NCN14,OUT035,3384.108064242422
FDH08,OUT013,3643.519725984251
FDS20,OUT046,3384.108064242422
FDV40,OUT049,1103.186213333333
FDZ48,OUT010,281.4820818181818
FDS24,OUT027,2517.882088484848
FDK44,OUT049,2552.0052351851864
FDS48,OUT045,3053.099877777778
FDK26,OUT010,482.69954262295073
FDD23,OUT045,3391.5912527272735
NCH54,OUT017,2644.477842708335
NCP14,OUT010,219.21852093023253
FDM60,OUT010,92.67548155339806
FDV24,OUT017,2503.501336448598
FDH08,OUT018,3327.9525829268287
FDS12,OUT027,3242.0620715328487
FDR39,OUT027,5329.314724444443
FDP12,OUT027,1378.2631852760744
DRF60,OUT027,6280.890880000001
FDC09,OUT035,1682.212238235295
FDF50,OUT018,2893.8398258992806
FDG28,OUT035,4340.218358415842
NCE19,OUT017,935.0323883040938
NCM53,OUT010,281.4820818181818
NCN18,OUT049,1879.2570116129027
FDF32,OUT035,3130.004904950496
FDF11,OUT013,3945.432567213115
DRI59,OUT049,4340.218358415842
NCG54,OUT035,2644.477842708335
FDM44,OUT046,1573.070625806452
FDT57,OUT018,3327.9525829268287
FDV24,OUT046,2503.501336448598
FDI50,OUT019,584.7577647727275
FDS09,OUT035,713.8586545454551
NCC31,OUT027,4117.31771263158
FDQ07,OUT019,584.7577647727275
FDC22,OUT017,3391.5912527272735
FDZ56,OUT046,2644.477842708335
FDZ40,OUT019,165.91858165137612
FDS46,OUT027,3242.0620715328487
DRD24,OUT045,1827.8328454545451
FDV45,OUT017,2939.348476190477
FDL26,OUT045,3053.099877777778
FDA56,OUT018,1752.252440000001
FDN27,OUT046,1922.149381714286
FDM20,OUT049,4340.218358415842
FDO16,OUT017,1435.912134375
FDL03,OUT035,3130.004904950496
FDE58,OUT046,1922.149381714286
FDI02,OUT027,3242.0620715328487
NCC55,OUT019,92.67548155339806
FDR03,OUT018,3327.9525829268287
FDB14,OUT017,1284.7897668711653
FDR45,OUT013,3945.432567213115
NCN07,OUT017,2243.6695967213113
FDM51,OUT019,219.21852093023253
FDT52,OUT027,6280.890880000001
FDL26,OUT046,3053.099877777778
NCZ42,OUT046,3945.432567213115
DRI47,OUT019,346.8972837209302
FDW40,OUT013,2309.2007980000003
FDN34,OUT046,3053.099877777778
FDS01,OUT035,2778.5893175257743
NCG55,OUT045,1827.8328454545451
FDC11,OUT035,1284.7897668711653
FDX35,OUT018,3327.9525829268287
NCB06,OUT046,2644.477842708335
FDR09,OUT019,584.7577647727275
FDC53,OUT017,1573.070625806452
FDY45,OUT013,4433.304032653064
FDA22,OUT010,425.9355914529916
FDE02,OUT035,1573.070625806452
FDW21,OUT045,1461.8437959999999
FDV34,OUT046,1103.186213333333
FDS59,OUT049,1879.2570116129027
NCW17,OUT017,2243.6695967213113
NCK54,OUT046,1922.149381714286
FDG17,OUT019,584.7577647727275
FDG35,OUT017,3259.5620849056613
FDD08,OUT010,92.67548155339806
NCO07,OUT017,3643.519725984251
FDJ10,OUT010,281.4820818181818
FDW36,OUT017,1573.070625806452
FDW21,OUT010,219.21852093023253
FDY19,OUT017,1922.149381714286
DRE03,OUT013,798.2176035398228
NCC55,OUT049,677.1027476190474
FDH52,OUT010,165.91858165137612
FDO09,OUT017,4034.300306896552
FDU43,OUT045,4340.218358415842
FDX09,OUT010,425.9355914529916
FDH40,OUT019,219.21852093023253
FDW58,OUT017,1573.070625806452
FDC47,OUT017,3737.2957751824806
NCR41,OUT035,1461.8437959999999
DRG49,OUT035,3737.2957751824806
FDC52,OUT027,4117.31771263158
FDY13,OUT046,1103.186213333333
FDY35,OUT013,507.04640366972495
FDI35,OUT017,3384.108064242422
NCU18,OUT049,2309.2007980000003
FDY33,OUT018,2232.84702184874
FDC15,OUT027,4117.31771263158
FDU01,OUT049,2752.9709346534664
NCU42,OUT046,2649.110232432434
NCV29,OUT018,3259.5620849056613
NCY30,OUT017,3384.108064242422
FDQ46,OUT049,1649.299786
FDG58,OUT027,4117.31771263158
FDK33,OUT017,3643.519725984251
NCD07,OUT045,1827.8328454545451
NCX29,OUT027,4117.31771263158
NCT42,OUT013,2649.110232432434
DRN59,OUT035,798.2176035398228
FDI44,OUT035,1284.7897668711653
FDA45,OUT049,2552.0052351851864
FDP31,OUT045,1103.186213333333
FDY01,OUT046,1922.149381714286
FDT09,OUT018,1752.252440000001
DRH03,OUT027,2517.882088484848
FDA36,OUT018,2752.9709346534664
NCF31,OUT017,2286.413267368421
FDG14,OUT049,2286.413267368421
FDG28,OUT027,6280.890880000001
FDU14,OUT049,4433.304032653064
FDY47,OUT019,281.4820818181818
FDI56,OUT049,1458.4550080536917
DRD01,OUT013,796.6402682539682
FDM22,OUT046,935.0323883040938
FDH33,OUT013,507.04640366972495
DRZ24,OUT013,1922.149381714286
NCQ38,OUT046,1682.212238235295
FDO16,OUT027,2517.882088484848
FDU07,OUT027,4117.31771263158
NCB07,OUT013,2893.8398258992806
FDU48,OUT045,1827.8328454545451
NCM43,OUT045,2644.477842708335
FDR31,OUT010,346.8972837209302
DRK49,OUT018,507.04640366972495
NCI30,OUT010,584.7577647727275
DRD60,OUT017,3384.108064242422
NCG19,OUT046,3454.06255915493
FDH12,OUT035,1573.070625806452
FDM32,OUT035,1284.7897668711653
FDM27,OUT035,3053.099877777778
NCU53,OUT027,4117.31771263158
NCQ18,OUT046,1879.2570116129027
FDS10,OUT013,2552.0052351851864
FDB33,OUT027,4117.31771263158
FDI12,OUT013,1435.912134375
NCW42,OUT013,4340.218358415842
NCC06,OUT018,1752.252440000001
FDW02,OUT017,1987.251048648648
NCD43,OUT017,1682.212238235295
FDM57,OUT018,1202.6567333333335
FDA58,OUT017,3737.2957751824806
FDK56,OUT046,3384.108064242422
FDP52,OUT045,4340.218358415842
FDW20,OUT018,1752.252440000001
FDS52,OUT049,1573.070625806452
NCT29,OUT018,1752.252440000001
NCL54,OUT013,2552.0052351851864
FDC05,OUT045,3130.004904950496
FDF34,OUT035,2752.9709346534664
FDP03,OUT027,3242.0620715328487
FDD32,OUT010,219.21852093023253
FDZ10,OUT045,1827.8328454545451
FDZ40,OUT035,935.0323883040938
FDD51,OUT018,507.04640366972495
NCY30,OUT019,425.9355914529916
FDP58,OUT017,3737.2957751824806
FDV49,OUT017,4433.304032653064
FDY24,OUT019,165.91858165137612
NCO55,OUT017,1879.2570116129027
FDR13,OUT017,1922.149381714286
FDS51,OUT017,935.0323883040938
FDP26,OUT045,1461.8437959999999
NCB54,OUT027,3242.0620715328487
FDF32,OUT017,3130.004904950496
FDN31,OUT018,2893.8398258992806
DRM48,OUT017,583.8145788617885
FDN20,OUT049,2453.7477006993
DRL01,OUT046,3454.06255915493
FDV56,OUT049,1682.212238235295
DRH13,OUT027,2517.882088484848
FDA03,OUT017,2453.7477006993
FDF47,OUT027,5329.314724444443
FDX32,OUT046,3053.099877777778
FDX57,OUT049,1879.2570116129027
NCA30,OUT045,2939.348476190477
FDO49,OUT013,713.8586545454551
FDL04,OUT019,219.21852093023253
DRM48,OUT035,583.8145788617885
FDR16,OUT013,3454.06255915493
NCC19,OUT018,2893.8398258992806
NCE42,OUT045,3945.432567213115
FDY24,OUT017,935.0323883040938
FDH19,OUT049,2778.5893175257743
FDJ46,OUT013,2552.0052351851864
FDN45,OUT010,584.7577647727275
FDY08,OUT035,2142.7435709401702
FDZ37,OUT035,1435.912134375
NCT30,OUT045,798.2176035398228
DRY23,OUT018,507.04640366972495
NCZ30,OUT018,1752.252440000001
FDC44,OUT018,1752.252440000001
FDB45,OUT035,1573.070625806452
FDY04,OUT013,2644.477842708335
FDM27,OUT046,3053.099877777778
FDZ43,OUT017,4340.218358415842
FDT39,OUT019,346.8972837209302
NCC06,OUT019,281.4820818181818
FDL15,OUT027,4117.31771263158
FDL57,OUT017,4034.300306896552
FDU08,OUT046,1573.070625806452
FDK40,OUT017,4433.304032653064
FDQ12,OUT010,584.7577647727275
FDS48,OUT017,3053.099877777778
FDP09,OUT045,3643.519725984251
FDW21,OUT049,1461.8437959999999
FDY25,OUT035,3384.108064242422
DRE13,OUT017,1458.4550080536917
FDV43,OUT019,92.67548155339806
FDD22,OUT045,1649.299786
FDM46,OUT019,219.21852093023253
NCO30,OUT010,482.69954262295073
FDM25,OUT046,2778.5893175257743
NCN41,OUT049,1987.251048648648
FDU24,OUT045,1435.912134375
FDZ50,OUT046,3384.108064242422
FDP45,OUT013,4034.300306896552
NCM54,OUT045,1827.8328454545451
FDW10,OUT019,425.9355914529916
FDP20,OUT017,1987.251048648648
FDK32,OUT046,3053.099877777778
FDN52,OUT049,1202.6567333333335
FDM58,OUT045,1879.2570116129027
FDZ46,OUT027,3242.0620715328487
NCA18,OUT018,1752.252440000001
FDD35,OUT046,2243.6695967213113
NCK31,OUT035,713.8586545454551
FDI40,OUT027,2517.882088484848
FDT50,OUT019,219.21852093023253
NCT06,OUT046,3053.099877777778
FDT31,OUT035,2752.9709346534664
FDT45,OUT049,796.6402682539682
FDT13,OUT045,2939.348476190477
FDO50,OUT045,1284.7897668711653
NCU18,OUT010,281.4820818181818
NCR54,OUT049,3130.004904950496
NCO18,OUT018,2778.5893175257743
FDU09,OUT045,935.0323883040938
FDT13,OUT018,2893.8398258992806
FDE09,OUT046,1649.299786
NCK53,OUT019,219.21852093023253
FDG45,OUT049,3454.06255915493
DRH15,OUT035,677.1027476190474
FDO21,OUT019,584.7577647727275
FDD14,OUT027,5329.314724444443
FDC09,OUT046,1682.212238235295
FDH45,OUT027,1378.2631852760744
FDV32,OUT046,1103.186213333333
FDG12,OUT035,2243.6695967213113
FDS32,OUT013,2309.2007980000003
NCL55,OUT018,3327.9525829268287
DRE01,OUT035,3737.2957751824806
DRE15,OUT049,1202.6567333333335
NCL42,OUT045,4340.218358415842
FDP31,OUT013,1103.186213333333
FDN33,OUT018,1202.6567333333335
FDZ59,OUT046,2503.501336448598
FDE45,OUT010,425.9355914529916
FDJ07,OUT013,1922.149381714286
FDQ45,OUT018,2752.9709346534664
FDM33,OUT027,5329.314724444443
FDO15,OUT010,165.91858165137612
FDM46,OUT013,1458.4550080536917
FDR03,OUT045,3945.432567213115
FDY49,OUT018,2232.84702184874
FDQ60,OUT045,1827.8328454545451
FDW10,OUT049,3259.5620849056613
FDO51,OUT049,677.1027476190474
FDJ40,OUT018,1372.6884907407411
FDS20,OUT018,3384.108064242422
FDU45,OUT013,1922.149381714286
FDV02,OUT035,2644.477842708335
FDN09,OUT046,3945.432567213115
NCM55,OUT027,5329.314724444443
FDN23,OUT018,2232.84702184874
FDY31,OUT010,346.8972837209302
FDW03,OUT010,219.21852093023253
FDD14,OUT046,3384.108064242422
FDV23,OUT017,2142.7435709401702
DRI03,OUT045,2552.0052351851864
FDN13,OUT035,1573.070625806452
FDF45,OUT027,1378.2631852760744
FDU46,OUT035,1435.912134375
FDB57,OUT049,3643.519725984251
FDV12,OUT049,1879.2570116129027
FDQ58,OUT013,2649.110232432434
NCA18,OUT017,1922.149381714286
FDH52,OUT049,796.6402682539682
FDM24,OUT018,2232.84702184874
NCP43,OUT027,5329.314724444443
NCO18,OUT019,425.9355914529916
FDM32,OUT017,1284.7897668711653
NCL07,OUT017,583.8145788617885
FDK03,OUT013,4034.300306896552
FDP59,OUT017,1879.2570116129027
FDQ24,OUT049,4433.304032653064
FDQ16,OUT018,1372.6884907407411
