Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1852.875
FDW14,OUT017,1580.625
NCN55,OUT010,1884.375
FDQ58,OUT017,2608.125
FDY38,OUT027,5181.5
FDH56,OUT046,1917.0
FDL48,OUT018,599.5
FDC48,OUT027,2778.5
FDN33,OUT045,1511.625
FDA36,OUT017,3078.625
FDT44,OUT017,1995.625
FDQ56,OUT045,1305.625
NCC54,OUT019,1845.875
FDU11,OUT049,2046.375
DRL59,OUT013,887.0
FDM24,OUT049,2561.375
FDI57,OUT045,3086.625
DRC12,OUT018,2764.0
NCM42,OUT027,3191.25
FDA46,OUT010,1131.375
FDA31,OUT013,2798.5
NCJ31,OUT035,3874.25
FDG52,OUT046,802.5
NCL19,OUT019,372.875
FDS10,OUT035,3025.5
FDX22,OUT010,1449.375
NCF19,OUT035,912.25
NCE06,OUT046,2525.5
DRC27,OUT046,3840.5
FDE21,OUT035,2024.0
NCR42,OUT019,-1360.625
FDX51,OUT018,2867.0
NCR06,OUT018,429.0
FDU31,OUT027,4943.0
FDU59,OUT017,2711.125
FDR03,OUT027,4770.0
FDS49,OUT027,2761.0
FDD48,OUT010,-75.125
NCF18,OUT017,3107.375
NCD43,OUT027,3098.25
NCD54,OUT018,1989.0
FDY19,OUT010,-38.625
NCY54,OUT017,2808.375
NCL19,OUT018,2022.5
FDP23,OUT010,1531.875
FDC26,OUT013,1817.5
FDR14,OUT010,-1042.625
NCS41,OUT035,3032.25
FDF41,OUT035,4040.0
FDU34,OUT046,2001.0
DRH11,OUT046,917.5
FDM03,OUT013,1763.0
FDS31,OUT017,3049.625
FDJ20,OUT017,2092.625
FDV44,OUT027,4497.0
FDG02,OUT049,3103.375
FDA09,OUT013,2912.0
FDT04,OUT013,690.0
FDL58,OUT019,2295.375
FDE52,OUT045,1456.625
FDW12,OUT035,2504.5
FDL51,OUT017,3549.625
NCY42,OUT027,3686.25
FDR07,OUT017,1657.125
FDN40,OUT045,2373.125
FDB35,OUT027,2952.0
FDA22,OUT017,2741.125
NCL06,OUT046,4108.0
FDI35,OUT013,2917.0
NCW42,OUT045,3408.875
NCX06,OUT049,2933.375
FDC37,OUT027,3193.0
FDZ14,OUT018,1731.5
DRG49,OUT049,3946.375
NCG06,OUT045,3956.875
DRC36,OUT045,2720.625
FDV21,OUT019,59.375
FDB53,OUT046,2357.5
DRP47,OUT019,2037.875
FDA14,OUT013,2352.5
DRC24,OUT035,2564.5
FDW21,OUT018,1418.0
NCH29,OUT046,1554.0
FDU58,OUT013,3081.5
FDY27,OUT017,2945.125
FDV56,OUT035,1949.0
FDT59,OUT046,3655.5
FDB23,OUT046,3622.5
FDR49,OUT045,697.125
FDB03,OUT010,1907.875
FDN39,OUT045,2618.125
FDX02,OUT027,4985.5
FDQ16,OUT027,3188.5
FDU35,OUT018,1343.0
NCT29,OUT013,1955.5
FDZ27,OUT046,829.0
FDN57,OUT017,2344.625
FDA03,OUT018,2102.0
FDZ36,OUT045,2921.625
NCU05,OUT013,1320.5
FDT39,OUT018,2184.0
FDK60,OUT017,1723.125
FDZ25,OUT017,2858.625
FDG12,OUT046,2038.0
DRB01,OUT019,1123.875
NCC43,OUT027,5376.25
FDX13,OUT019,2034.375
FDM22,OUT049,1030.375
FDJ03,OUT027,2309.0
FDU14,OUT018,3679.0
FDB33,OUT010,622.875
FDP27,OUT046,3004.0
FDO38,OUT010,-672.125
FDE28,OUT027,5155.0
FDO27,OUT035,1702.0
DRL23,OUT027,3165.5
FDS28,OUT046,964.0
FDX24,OUT013,1548.0
FDZ02,OUT035,1747.5
FDL46,OUT045,1810.625
FDS60,OUT027,4295.0
NCO06,OUT017,632.375
FDO16,OUT035,1527.0
FDC60,OUT049,1540.875
FDA48,OUT018,3200.5
FDZ36,OUT027,4455.0
FDK27,OUT045,1876.625
FDW23,OUT018,380.0
FDM14,OUT018,1511.0
FDM14,OUT013,1787.0
FDW60,OUT018,2607.0
FDE21,OUT013,1910.0
NCM42,OUT035,1879.25
FDY59,OUT010,-374.125
DRI49,OUT049,1378.875
FDT28,OUT019,508.875
FDQ22,OUT018,410.0
FDR60,OUT049,1334.875
FDC50,OUT019,-395.625
FDV24,OUT013,2457.5
DRF48,OUT010,1023.875
FDQ47,OUT046,639.5
DRN36,OUT049,1661.375
NCY06,OUT035,2170.25
FDE52,OUT035,1659.5
NCB54,OUT045,1934.375
NCF31,OUT035,2545.25
FDJ08,OUT027,4448.5
NCC07,OUT017,1783.875
NCD19,OUT027,2356.25
FDL46,OUT049,2011.875
FDM20,OUT045,3833.125
NCI06,OUT010,914.875
DRM11,OUT035,4216.5
NCH07,OUT018,2205.5
FDS23,OUT013,2083.0
FDO49,OUT018,603.0
FDS35,OUT049,1164.375
DRK39,OUT045,1273.625
DRI39,OUT049,1034.875
FDV04,OUT017,2640.125
NCN14,OUT035,3005.25
FDH08,OUT013,3688.5
FDS20,OUT046,2910.0
FDV40,OUT049,1356.875
FDZ48,OUT010,-143.125
FDS24,OUT027,2912.5
FDK44,OUT049,2860.875
FDS48,OUT045,2341.625
FDK26,OUT010,1105.375
FDD23,OUT045,2973.125
NCH54,OUT017,2633.375
NCP14,OUT010,-252.125
FDM60,OUT010,-1182.625
FDV24,OUT017,2521.625
FDH08,OUT018,3347.0
FDS12,OUT027,3463.5
FDR39,OUT027,4318.0
FDP12,OUT027,2127.5
DRF60,OUT027,5186.0
FDC09,OUT035,1849.0
FDF50,OUT018,2888.5
FDG28,OUT035,4055.0
NCE19,OUT017,980.375
NCM53,OUT010,-203.625
NCN18,OUT049,1848.875
FDF32,OUT035,3314.5
FDF11,OUT013,3874.0
DRI59,OUT049,3660.875
NCG54,OUT035,2807.75
FDM44,OUT046,1636.0
FDT57,OUT018,3466.5
FDV24,OUT046,2416.5
FDI50,OUT019,1770.375
FDS09,OUT035,1034.5
NCC31,OUT027,3894.25
FDQ07,OUT019,1597.375
FDC22,OUT017,3172.125
FDZ56,OUT046,2694.5
FDZ40,OUT019,-1002.625
FDS46,OUT027,3395.5
DRD24,OUT045,2159.625
FDV45,OUT017,3104.625
FDL26,OUT045,2416.625
FDA56,OUT018,1708.0
FDN27,OUT046,1916.5
FDM20,OUT049,3981.875
FDO16,OUT017,1458.125
FDL03,OUT035,3302.0
FDE58,OUT046,1908.5
FDI02,OUT027,3290.0
NCC55,OUT019,-1238.625
FDR03,OUT018,3055.0
FDB14,OUT017,1641.125
