Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.432312918661
FDW14,OUT017,1364.0491539906102
NCN55,OUT010,542.9755395973151
FDQ58,OUT017,2384.0151261682245
FDY38,OUT027,5669.16335142857
FDH56,OUT046,1874.4309598591547
FDL48,OUT018,754.5960957264958
FDC48,OUT027,2513.079854666667
FDN33,OUT045,1554.0070756410255
FDA36,OUT017,3087.507511282051
FDT44,OUT017,1874.4309598591547
FDQ56,OUT045,1364.0491539906102
NCC54,OUT019,542.9755395973151
FDU11,OUT049,2054.2157066202094
DRL59,OUT013,754.5960957264958
FDM24,OUT049,2384.0151261682245
FDI57,OUT045,2880.9695613636372
DRC12,OUT018,2880.9695613636372
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973151
FDA31,OUT013,2736.968429875517
NCJ31,OUT035,3593.14123512545
FDG52,OUT046,754.5960957264958
NCL19,OUT019,286.4177705128205
FDS10,OUT035,2880.9695613636372
FDX22,OUT010,542.9755395973151
NCF19,OUT035,754.5960957264958
NCE06,OUT046,2384.0151261682245
DRC27,OUT046,4109.900606217617
FDE21,OUT035,1874.4309598591547
NCR42,OUT019,130.3334905660378
FDX51,OUT018,3087.507511282051
NCR06,OUT018,637.5735090128752
FDU31,OUT027,5669.16335142857
FDU59,OUT017,2384.0151261682245
FDR03,OUT027,5669.16335142857
FDS49,OUT027,2513.079854666667
FDD48,OUT010,286.4177705128205
NCF18,OUT017,2880.9695613636372
NCD43,OUT027,2513.079854666667
NCD54,OUT018,1936.508247826087
FDY19,OUT010,286.4177705128205
NCY54,OUT017,2997.407679041916
NCL19,OUT018,2346.648786938776
FDP23,OUT010,542.9755395973151
FDC26,OUT013,1722.3316111731835
FDR14,OUT010,130.3334905660378
NCS41,OUT035,3389.2269793548367
FDF41,OUT035,3593.14123512545
FDU34,OUT046,2054.2157066202094
DRH11,OUT046,876.3205797979798
FDM03,OUT013,1722.3316111731835
FDS31,OUT017,3389.2269793548367
FDJ20,OUT017,2054.2157066202094
FDV44,OUT027,5669.16335142857
FDG02,OUT049,3087.507511282051
FDA09,OUT013,2736.968429875517
FDT04,OUT013,637.5735090128752
FDL58,OUT019,542.9755395973151
