Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.486042756023
FDW14,OUT017,1591.7612740786317
NCN55,OUT010,1822.6726586170034
FDQ58,OUT017,2546.3629591573945
FDY38,OUT027,5087.605400109229
FDH56,OUT046,1942.6371302122488
FDL48,OUT018,680.8000272442417
FDC48,OUT027,2806.0427441358884
FDN33,OUT045,1541.2477558067708
FDA36,OUT017,3051.6757355410955
FDT44,OUT017,2004.9816551032445
FDQ56,OUT045,1358.1533406290976
NCC54,OUT019,1819.7081624356488
FDU11,OUT049,2076.75019335065
DRL59,OUT013,963.736580042979
FDM24,OUT049,2541.571606499627
FDI57,OUT045,3047.5751030919687
DRC12,OUT018,2726.5903317931256
NCM42,OUT027,3196.322082094339
FDA46,OUT010,1129.086593209291
FDA31,OUT013,2782.8531016284596
NCJ31,OUT035,3802.6708588839992
FDG52,OUT046,863.6967323629369
NCL19,OUT019,383.67497397229613
FDS10,OUT035,2986.4040703131786
FDX22,OUT010,1453.2700642602736
NCF19,OUT035,998.5313152811386
NCE06,OUT046,2519.8296088661195
DRC27,OUT046,3768.666066789686
FDE21,OUT035,2044.97505622815
NCR42,OUT019,-1251.134114547142
FDX51,OUT018,2840.707683652796
NCR06,OUT018,510.7134768810498
FDU31,OUT027,4872.6616182120215
FDU59,OUT017,2684.937811854625
FDR03,OUT027,4667.855182836753
FDS49,OUT027,2769.5521447021088
FDD48,OUT010,-11.742853337761858
NCF18,OUT017,3083.5092213649104
NCD43,OUT027,3104.4140854002508
NCD54,OUT018,2007.8274969877755
FDY19,OUT010,23.568113246545522
NCY54,OUT017,2783.2415589678108
NCL19,OUT018,2023.5214175263475
FDP23,OUT010,1509.3653428274188
FDC26,OUT013,1848.5794920752426
FDR14,OUT010,-931.0749455928544
NCS41,OUT035,2986.6196676007467
FDF41,OUT035,3971.3364664503206
FDU34,OUT046,2004.5683173135983
DRH11,OUT046,984.169528964188
FDM03,OUT013,1734.3034064058766
FDS31,OUT017,2964.8933269092495
FDJ20,OUT017,2116.7529678965648
FDV44,OUT027,4427.784808962078
FDG02,OUT049,3080.32827140188
FDA09,OUT013,2877.9901004558037
FDT04,OUT013,743.8136889644124
FDL58,OUT019,2224.430519922795
FDE52,OUT045,1472.2979119940542
FDW12,OUT035,2500.3276177547996
FDL51,OUT017,3499.17163175145
NCY42,OUT027,3669.3541994593006
FDR07,OUT017,1704.3865411049335
FDN40,OUT045,2341.925789890122
FDB35,OUT027,2975.938723178916
FDA22,OUT017,2708.401927647028
NCL06,OUT046,4020.093188584381
FDI35,OUT013,2889.386905085806
NCW42,OUT045,3358.9867537069445
NCX06,OUT049,2926.3408466167148
FDC37,OUT027,3208.3154817412396
FDZ14,OUT018,1759.362855368341
DRG49,OUT049,3880.4720445096295
NCG06,OUT045,3875.8374405200043
DRC36,OUT045,2697.430348414642
FDV21,OUT019,89.20329367236582
FDB53,OUT046,2335.28360036281
DRP47,OUT019,1969.3600466199532
FDA14,OUT013,2346.3123118934695
DRC24,OUT035,2559.436840774868
FDW21,OUT018,1431.1415252561835
NCH29,OUT046,1574.1901419858743
FDU58,OUT013,3038.849954510204
FDY27,OUT017,2888.586673528193
FDV56,OUT035,1978.6353753250958
FDT59,OUT046,3588.219044516925
FDB23,OUT046,3557.5198981563967
FDR49,OUT045,760.3217983798731
FDB03,OUT010,1879.1002918477893
FDN39,OUT045,2601.0081164778535
FDX02,OUT027,4893.539499114106
FDQ16,OUT027,3196.57648028102
FDU35,OUT018,1349.33257264609
NCT29,OUT013,1985.4074128544562
FDZ27,OUT046,871.1855531616691
FDN57,OUT017,2352.0259350435467
FDA03,OUT018,2095.9434563670666
FDZ36,OUT045,2892.9101455455652
NCU05,OUT013,1378.5344023376722
FDT39,OUT018,2199.4632583522475
FDK60,OUT017,1722.7099429732355
FDZ25,OUT017,2809.59873276324
FDG12,OUT046,1996.264166796807
DRB01,OUT019,1083.335780311959
NCC43,OUT027,5257.561572088322
FDX13,OUT019,1979.857354598283
FDM22,OUT049,1099.9470861104871
FDJ03,OUT027,2354.422841288429
FDU14,OUT018,3604.68000054786
FDB33,OUT010,672.5769401362721
FDP27,OUT046,2975.1934067615757
FDO38,OUT010,-582.7923496414347
FDE28,OUT027,5039.5635892100145
FDO27,OUT035,1728.2847298513582
DRL23,OUT027,3168.950989414748
FDS28,OUT046,1027.068348708507
FDX24,OUT013,1576.821883985006
FDZ02,OUT035,1784.073472404235
FDL46,OUT045,1839.2554744810388
FDS60,OUT027,4250.409336238303
NCO06,OUT017,717.6465905641744
FDO16,OUT035,1575.6042405473013
FDC60,OUT049,1593.7200437221381
FDA48,OUT018,3143.3858700772057
FDZ36,OUT027,4385.028482398677
FDK27,OUT045,1908.4289842610203
FDW23,OUT018,471.632553703544
FDM14,OUT018,1541.1823508090108
FDM14,OUT013,1815.3528147796862
FDW60,OUT018,2582.1162522474688
FDE21,OUT013,1937.8367449367722
NCM42,OUT035,1909.6295631404064
FDY59,OUT010,-325.2766424478067
DRI49,OUT049,1411.6164616201527
FDT28,OUT019,537.2071923218489
FDQ22,OUT018,492.4516104473239
FDR60,OUT049,1379.3844046079018
FDC50,OUT019,-340.25310825444285
FDV24,OUT013,2420.1696343514545
DRF48,OUT010,1114.8936484944256
FDQ47,OUT046,720.702410754555
DRN36,OUT049,1683.4037250766808
NCY06,OUT035,2186.5456966803395
FDE52,OUT035,1667.7100348612535
NCB54,OUT045,1960.2734232898456
NCF31,OUT035,2544.246719333175
FDJ08,OUT027,4390.76265434792
NCC07,OUT017,1827.1444492907679
NCD19,OUT027,2337.0849311304023
FDL46,OUT049,2028.7564046335747
FDM20,OUT045,3747.4870288986035
NCI06,OUT010,943.0398761002449
DRM11,OUT035,4122.364533017647
NCH07,OUT018,2216.5615376056476
FDS23,OUT013,2100.7278006301867
FDO49,OUT018,669.6110700121152
FDS35,OUT049,1217.2217140612672
DRK39,OUT045,1285.9726813735924
DRI39,OUT049,1099.9780065826922
FDV04,OUT017,2624.8631109665657
NCN14,OUT035,2975.483390659306
FDH08,OUT013,3643.5167154159753
FDS20,OUT046,2869.6655231483437
FDV40,OUT049,1379.9784542136147
FDZ48,OUT010,-86.89226142344035
FDS24,OUT027,2932.0148532120575
FDK44,OUT049,2828.4979432217165
FDS48,OUT045,2339.162803170231
FDK26,OUT010,1102.713449369889
FDD23,OUT045,2937.0715590527197
NCH54,OUT017,2634.2183373391254
NCP14,OUT010,-188.76888283441292
FDM60,OUT010,-1102.8992058263443
FDV24,OUT017,2476.4049421632076
FDH08,OUT018,3307.193971473377
FDS12,OUT027,3456.900864195074
FDR39,OUT027,4257.419862283463
FDP12,OUT027,2172.1116928418496
DRF60,OUT027,5054.8400351898
FDC09,OUT035,1883.5086627079033
FDF50,OUT018,2792.631096988239
FDG28,OUT035,3949.81155231378
NCE19,OUT017,1057.1553589040068
NCM53,OUT010,-135.38119785417905
NCN18,OUT049,1869.1723657928878
FDF32,OUT035,3238.1001142024816
FDF11,OUT013,3794.36755011207
DRI59,OUT049,3568.4143166368185
NCG54,OUT035,2780.94239834641
FDM44,OUT046,1678.2034344736803
FDT57,OUT018,3413.2142606190373
FDV24,OUT046,2369.635711729046
FDI50,OUT019,1710.7204506835283
FDS09,OUT035,1104.3527497603097
NCC31,OUT027,3861.486834988574
FDQ07,OUT019,1570.3560600779106
FDC22,OUT017,3127.2816064612593
FDZ56,OUT046,2686.51349778212
FDZ40,OUT019,-886.7626110244152
FDS46,OUT027,3392.078903943199
DRD24,OUT045,2178.0225931934383
FDV45,OUT017,3076.1107171873227
FDL26,OUT045,2402.3300001392595
FDA56,OUT018,1738.911094674989
FDN27,OUT046,1901.2545117692036
FDM20,OUT049,3893.609271459047
FDO16,OUT017,1507.2173898711958
FDL03,OUT035,3249.545728230856
FDE58,OUT046,1865.621930293584
FDI02,OUT027,3275.795627525313
NCC55,OUT019,-1192.3770005445692
FDR03,OUT018,2987.901152054704
FDB14,OUT017,1662.1679460339785
FDR45,OUT013,3772.5792602048527
NCN07,OUT017,2178.64376018283
FDM51,OUT019,-145.53768410605517
FDT52,OUT027,5264.676501721282
FDL26,OUT046,2437.1437828470102
NCZ42,OUT046,3677.8689670361705
DRI47,OUT019,456.85218419769467
FDW40,OUT013,2322.4472749602055
FDN34,OUT046,2710.5360779484186
FDS01,OUT035,2961.6490133131797
NCG55,OUT045,1786.905871579135
FDC11,OUT035,1578.8896400684446
FDX35,OUT018,3287.552822041206
NCB06,OUT046,2504.743622035887
FDR09,OUT019,2147.00687622522
FDC53,OUT017,1723.1701314392992
FDY45,OUT013,3990.430446453026
FDA22,OUT010,754.865321077369
FDE02,OUT035,1702.4437496190926
FDW21,OUT045,1637.8254474510584
FDV34,OUT046,1307.50167953969
FDS59,OUT049,1937.4107538080552
NCW17,OUT017,2147.712294950032
NCK54,OUT046,1804.4971605622093
FDG17,OUT019,1966.89554712567
FDG35,OUT017,2883.7181900134237
FDD08,OUT010,-1134.5765725347412
NCO07,OUT017,3381.1193548026713
FDJ10,OUT010,409.0743816793166
FDW36,OUT017,1811.7912010783189
FDW21,OUT010,-104.46172867600933
FDY19,OUT017,2023.8981623947698
DRE03,OUT013,889.3223243086383
NCC55,OUT049,786.1303113732854
FDH52,OUT010,-728.1369806091946
FDO09,OUT017,4203.267619634895
FDU43,OUT045,3686.948731205221
FDX09,OUT010,883.5188100450072
FDH40,OUT019,-431.88709691309896
FDW58,OUT017,1823.7420261733257
FDC47,OUT017,3624.1058505220467
NCR41,OUT035,1674.3492540532345
DRG49,OUT035,3913.44760386628
FDC52,OUT027,3894.603804957206
FDY13,OUT046,1276.9689188702796
FDY35,OUT013,915.8285060569283
FDI35,OUT017,2960.6368349259706
NCU18,OUT049,2342.6309631222507
FDY33,OUT018,2273.201297867
FDC15,OUT027,3895.312389893489
FDU01,OUT049,3082.509728156459
NCU42,OUT046,2650.1568886481627
NCV29,OUT018,2512.7320213118337
NCY30,OUT017,2959.9824709975333
FDQ46,OUT049,1913.0945804426633
FDG58,OUT027,3895.060673733047
FDK33,OUT017,3446.548753172123
NCD07,OUT045,1756.6520651494632
NCX29,OUT027,3699.261649927388
NCT42,OUT013,2382.283708216127
DRN59,OUT035,948.016768182625
FDI44,OUT035,1465.3501433905142
FDA45,OUT049,2867.566369360888
FDP31,OUT045,1088.4448376179598
FDY01,OUT046,1874.2015536922413
FDT09,OUT018,1921.9124976175206
DRH03,OUT027,2974.0502070127995
FDA36,OUT018,2682.4973303911743
NCF31,OUT017,2514.3089967550295
FDG14,OUT049,2548.190458518063
FDG28,OUT027,5255.859874286136
FDU14,OUT049,3974.302850045397
FDY47,OUT019,277.6410696736932
FDI56,OUT049,1604.5953567263794
DRD01,OUT013,1058.29012722566
FDM22,OUT046,1015.680025793848
FDH33,OUT013,806.1190529789476
DRZ24,OUT013,1906.8063733416102
NCQ38,OUT046,1707.0368517346742
FDO16,OUT027,2848.951686969095
FDU07,OUT027,3804.0672245512205
NCB07,OUT013,3053.2156327513007
FDU48,OUT045,2070.6775038584838
NCM43,OUT045,2539.1369107319315
FDR31,OUT010,477.4442687769955
DRK49,OUT018,485.86409650238966
NCI30,OUT010,1891.2851961255456
DRD60,OUT017,2935.4735144551105
NCG19,OUT046,3591.5948980924004
FDH12,OUT035,1864.062120350831
FDM32,OUT035,1664.4357517254255
FDM27,OUT035,2628.2187787986013
NCU53,OUT027,4016.9563628576116
NCQ18,OUT046,1583.4188645225056
FDS10,OUT013,2857.058396272111
FDB33,OUT027,3943.7120596345308
FDI12,OUT013,1500.628382924877
NCW42,OUT013,3454.653936541189
NCC06,OUT018,1793.7615499003134
FDW02,OUT017,2170.5027484854836
NCD43,OUT017,1793.750650759898
FDM57,OUT018,1168.9960201417903
FDA58,OUT017,3746.9092975914846
FDK56,OUT046,2868.859468407234
FDP52,OUT045,3566.361191491098
FDW20,OUT018,1741.1552858084324
FDS52,OUT049,1776.7492541255106
NCT29,OUT018,1649.0057833972262
NCL54,OUT013,2751.190786537149
FDC05,OUT045,3073.984942677342
FDF34,OUT035,3278.409530159693
FDP03,OUT027,3472.943069169907
FDD32,OUT010,-434.45057683997436
FDZ10,OUT045,1993.9399995433118
FDZ40,OUT035,1122.3963525441527
FDD51,OUT018,516.6908408515703
NCY30,OUT019,946.5225128342408
FDP58,OUT017,3467.8473464158474
FDV49,OUT017,4193.470258837233
FDY24,OUT019,-941.37294887488
NCO55,OUT017,1823.9188677395111
FDR13,OUT017,2050.362846686614
FDS51,OUT017,1189.7139975779803
FDP26,OUT045,1615.8048418602493
NCB54,OUT027,3480.8772734528607
FDF32,OUT017,3166.5458795391773
FDN31,OUT018,2700.7869137715848
DRM48,OUT017,765.5148622375214
FDN20,OUT049,2775.5039837737636
DRL01,OUT046,3623.244746982692
FDV56,OUT049,1913.0969256332837
DRH13,OUT027,3174.456517837275
FDA03,OUT017,2462.12737938558
FDF47,OUT027,4894.181646105177
FDX32,OUT046,2355.191778183757
FDX57,OUT049,1735.696890063728
NCA30,OUT045,2873.118827888992
FDO49,OUT013,974.9194416484168
FDL04,OUT019,-167.80036313159303
DRM48,OUT035,825.1720133676998
FDR16,OUT013,3368.3395710159366
NCC19,OUT018,2710.4954688865055
NCE42,OUT045,3570.909648247374
FDY24,OUT017,1090.8768399209432
FDH19,OUT049,2878.571304522756
FDJ46,OUT013,2759.400510659257
FDN45,OUT010,1587.324228040086
FDY08,OUT035,2398.7722052657086
FDZ37,OUT035,1626.7557550636973
NCT30,OUT045,777.8860070461747
DRY23,OUT018,526.9236785631007
NCZ30,OUT018,1682.2336779154032
FDC44,OUT018,1542.3901521750847
FDB45,OUT035,1873.2528661931487
FDY04,OUT013,2669.558839057898
FDM27,OUT046,2525.920354241982
FDZ43,OUT017,3877.353616943534
FDT39,OUT019,601.4654602955213
NCC06,OUT019,170.06455910456407
FDL15,OUT027,3876.9166421732475
FDL57,OUT017,4122.935497378637
