Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1509.4323129186598
FDW14,OUT017,1364.0491539906104
NCN55,OUT010,542.9755395973156
FDQ58,OUT017,2384.015126168223
FDY38,OUT027,5669.163351428574
FDH56,OUT046,1874.4309598591547
FDL48,OUT018,754.596095726496
FDC48,OUT027,2513.079854666667
FDN33,OUT045,1554.0070756410255
FDA36,OUT017,3087.507511282049
FDT44,OUT017,1874.4309598591547
FDQ56,OUT045,1364.0491539906104
NCC54,OUT019,542.9755395973156
FDU11,OUT049,2054.215706620209
DRL59,OUT013,754.596095726496
FDM24,OUT049,2384.015126168223
FDI57,OUT045,2880.9695613636377
DRC12,OUT018,2880.9695613636377
NCM42,OUT027,3175.3359881578954
FDA46,OUT010,542.9755395973156
FDA31,OUT013,2736.9684298755196
NCJ31,OUT035,3593.1412351254494
FDG52,OUT046,754.596095726496
NCL19,OUT019,286.41777051282054
FDS10,OUT035,2880.9695613636377
FDX22,OUT010,542.9755395973156
NCF19,OUT035,754.596095726496
NCE06,OUT046,2384.015126168223
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.4309598591547
NCR42,OUT019,130.33349056603777
FDX51,OUT018,3087.507511282049
NCR06,OUT018,637.5735090128753
FDU31,OUT027,5669.163351428574
FDU59,OUT017,2384.015126168223
FDR03,OUT027,5669.163351428574
FDS49,OUT027,2513.079854666667
FDD48,OUT010,286.41777051282054
NCF18,OUT017,2880.9695613636377
NCD43,OUT027,2513.079854666667
NCD54,OUT018,1936.508247826087
FDY19,OUT010,286.41777051282054
NCY54,OUT017,2997.4076790419176
NCL19,OUT018,2346.6487869387765
FDP23,OUT010,542.9755395973156
FDC26,OUT013,1722.331611173186
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3389.2269793548367
FDF41,OUT035,3593.1412351254494
FDU34,OUT046,2054.215706620209
DRH11,OUT046,876.3205797979801
FDM03,OUT013,1722.331611173186
FDS31,OUT017,3389.2269793548367
FDJ20,OUT017,2054.215706620209
FDV44,OUT027,5669.163351428574
FDG02,OUT049,3087.507511282049
FDA09,OUT013,2736.9684298755196
FDT04,OUT013,637.5735090128753
FDL58,OUT019,542.9755395973156
FDE52,OUT045,1364.0491539906104
FDW12,OUT035,2384.015126168223
FDL51,OUT017,3753.000099363057
NCY42,OUT027,3175.3359881578954
FDR07,OUT017,1554.0070756410255
FDN40,OUT045,2384.015126168223
FDB35,OUT027,2513.079854666667
FDA22,OUT017,2384.015126168223
NCL06,OUT046,4333.891515923568
FDI35,OUT013,3389.2269793548367
NCW42,OUT045,3753.000099363057
NCX06,OUT049,2736.9684298755196
FDC37,OUT027,3175.3359881578954
FDZ14,OUT018,1936.508247826087
DRG49,OUT049,3593.1412351254494
NCG06,OUT045,4105.140110975609
DRC36,OUT045,2997.4076790419176
FDV21,OUT019,286.41777051282054
FDB53,OUT046,2539.394235877861
DRP47,OUT019,542.9755395973156
FDA14,OUT013,2346.6487869387765
DRC24,OUT035,2539.394235877861
